ID,Name
70,Emerson
1397,"Owen, Michael"
3111,"Zidane, Zinedine"
3139,"Beckham, David"
3140,Ronaldo
3182,"Cole, Ashley"
3183,"Vieira, Patrick"
3220,"Riise, John Arne"
3226,"Anelka, Nicolas"
3366,Kaka
3372,Rivaldo
3393,"Silvestre, Mikael"
3394,"Solskjaer, Ole Gunnar"
3403,"Neville, Gary"
3515,"van Bommel, Mark"
3518,"de Boer, Frank"
3603,"Nedved, Pavel"
3924,"Drogba, Didier"
4010,"Kuyt, Dirk"
4168,"Seedorf, Clarence"
4171,"Nesta, Alessandro"
4248,Diego
4257,"Eto'o, Samuel"
4276,"Tevez, Carlos"
4375,"Reiziger, Michael"
4673,"Sneijder, Wesley"
5023,"Buffon, Gianluigi"
5283,"Abidal, Eric"
5354,Juninho Pernambucano
5818,"Ambrosini, Massimo"
5821,"Inzaghi, Filippo"
5947,"De Rossi, Daniele"
5958,"Totti, Francesco"
6031,"Di Natale, Antonio"
6448,"Vucinic, Mirko"
6710,"Mertesacker, Per"
7600,"Iniesta, Andres"
7767,"Torres, Fernando"
7980,"Villa, David"
8019,Simao
8198,"Ronaldo, Cristiano"
13168,"Meireles, Raul"
16911,"Schmeichel, Kasper"
16922,"Boateng, Kevin-Prince"
19726,"Vidic, Nemanja"
19981,"Mascherano, Javier"
21369,"Turan, Arda"
24180,"Skrtel, Martin"
25557,"Ramos, Sergio"
26485,"Boateng, Jerome"
27577,"Dempsey, Clint"
28003,"Messi, Lionel"
29364,"Moutinho, Joao"
32467,"Rakitic, Ivan"
33706,Nani
33947,Rafinha
34557,"Bendtner, Nicklas"
34987,"Yilmaz, Burak"
35047,"Witsel, Axel"
35518,"Silva, David"
35537,Felipe Melo
37666,"Vidal, Arturo"
38593,"Hamsik, Marek"
39152,"Falcao, Radamel"
39153,"Higuain, Gonzalo"
39728,"Hummels, Mats"
42205,"Sommer, Yann"
44352,"Suarez, Luis"
44501,Marcelo
44716,"Marchisio, Claudio"
46156,"Kolarov, Aleksandar"
46741,David Luiz
50202,"Hazard, Eden"
50935,Chicharito
51471,"Kovacic, Mateo"
54928,"Godin, Diego"
55735,"Mkhitaryan, Henrikh"
56416,"Mertens, Dries"
58088,"Muslera, Fernando"
58358,"Muller, Thomas"
59016,"Alaba, David"
59377,"de Gea, David"
59561,"Parejo, Dani"
60410,"Acuna, Marcos"
65278,Pedro
68863,"Icardi, Mauro"
72047,"Aspas, Iago"
72522,"de Jong, Luuk"
74230,"Sarabia, Pablo"
74418,"Martinez, Jackson"
74842,"Gotze, Mario"
82009,"Volland, Kevin"
86202,"Rudiger, Antonio"
88755,"De Bruyne, Kevin"
91845,"Son, Heung-min"
94005,"Kolasinac, Sead"
94529,"El Shaarawy, Stephan"
96341,"Lukaku, Romelu"
111455,"Xhaka, Granit"
119296,"Can, Emre"
122153,"Pogba, Paul"
125781,"Griezmann, Antoine"
126540,"Umtiti, Samuel"
128220,Luis Alberto
128223,"Morata, Alvaro"
131789,"Firmino, Roberto"
140776,"Carrasco, Yannick"
156617,"Brozovic, Marcelo"
159088,"Andrich, Robert"
159471,"Gnabry, Serge"
161056,"Kimmich, Joshua"
166237,"Paredes, Leandro"
166601,"Sule, Niklas"
170527,"Werner, Timo"
171424,"Mahrez, Riyad"
177467,"Moreno, Gerard"
183288,"Shaw, Luke"
191891,"Milik, Arkadiusz"
203853,"Zinchenko, Oleksandr"
204069,"Skriniar, Milan"
207929,"Alli, Dele"
217111,"Ziyech, Hakim"
223967,"Laimer, Konrad"
240306,"Fernandes, Bruno"
249565,"Tielemans, Youri"
251664,"Toney, Ivan"
255508,"Williams, Inaki"
260827,"Andersen, Joachim"
266302,"Milinkovic-Savic, Sergej"
266807,"Correa, Angel"
281963,"Hernandez, Lucas"
284165,"Bergwijn, Steven"
284730,"Akanji, Manuel"
294808,"Kessie, Franck"
307058,"Taremi, Mehdi"
316264,"Odegaard, Martin"
331726,"Abraham, Tammy"
339808,"Hernandez, Theo"
340456,"Mazraoui, Noussair"
340950,Diogo Jota
342229,"Mbappe, Kylian"
342385,"Rodriguez, Guido"
349599,"Estupinan, Pervis"
351816,"Bennacer, Ismael"
354361,"Anguissa, Frank"
357498,"Vlahovic, Dusan"
357662,"Rice, Declan"
375885,"Sangare, Ibrahim"
392765,"Smith Rowe, Emile"
397033,"Tonali, Sandro"
398065,"Barnes, Harvey"
406040,"Lookman, Ademola"
411295,Raphinha
418560,"Haaland, Erling"
424042,"Molina, Nahuel"
424204,"Davies, Alphonso"
426620,"Goncalves, Pedro"
442531,"Mendy, Edouard"
444523,Lucas Paqueta
469822,"Neres, David"
480692,"Diaz, Luis"
487465,"Neto, Pedro"
487969,"Kolo Muani, Randal"
488362,"Gallagher, Conor"
495666,"Saliba, William"
496094,"Adeyemi, Karim"
503987,"Madueke, Noni"
504215,"Reyna, Giovanni"
525247,"Kilman, Maximilian"
533738,"David, Jonathan"
537860,"Mudryk, Mykhaylo"
543382,"Camara, Mohamed"
543499,"Kudus, Mohammed"
566931,"Simons, Xavi"
571020,"Sancet, Oihan"
601883,"Nunes, Matheus"
626724,Joao Pedro
659542,"Wahi, Elye"
776890,"Jackson, Nicolas"
943837,Vitor Roque
